
Tracing route to mscs.mu.edu [134.48.4.5]
over a maximum of 30 hops:

  1     2 ms     2 ms     2 ms  192.168.2.1 
  2     6 ms     3 ms     3 ms  1.186.179.1.dvois.com [1.186.179.1] 
  3     8 ms     3 ms     3 ms  114.79.129.97.dvois.com [114.79.129.97] 
  4     *        *        *     Request timed out.
  5     *        *        *     Request timed out.
  6     *        *        *     Request timed out.
  7     *        *        *     Request timed out.
  8     *        *        *     Request timed out.
  9     *        *        *     Request timed out.
 10     *        *        *     Request timed out.
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13     *        *        *     Request timed out.
 14     *        *     
